
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,440 K
Secure System                   92 Services                   0     61,908 K
Registry                       136 Services                   0     27,460 K
smss.exe                       564 Services                   0      1,616 K
csrss.exe                      832 Services                   0      6,232 K
wininit.exe                    920 Services                   0      8,900 K
csrss.exe                      928 Console                    1      6,968 K
winlogon.exe                  1020 Console                    1     15,668 K
services.exe                   648 Services                   0     19,112 K
LsaIso.exe                     676 Services                   0      3,828 K
lsass.exe                      668 Services                   0     27,772 K
svchost.exe                   1124 Services                   0     35,232 K
fontdrvhost.exe               1156 Console                    1      6,536 K
fontdrvhost.exe               1160 Services                   0      4,748 K
svchost.exe                   1252 Services                   0     17,060 K
svchost.exe                   1320 Services                   0     13,652 K
dwm.exe                       1376 Console                    1    155,100 K
svchost.exe                   1512 Services                   0      9,900 K
svchost.exe                   1520 Services                   0      6,996 K
svchost.exe                   1528 Services                   0      7,036 K
svchost.exe                   1540 Services                   0     19,732 K
svchost.exe                   1560 Services                   0      8,084 K
svchost.exe                   1656 Services                   0     14,160 K
svchost.exe                   1664 Services                   0     11,144 K
svchost.exe                   1756 Services                   0     17,160 K
svchost.exe                   1776 Services                   0      8,792 K
svchost.exe                   1828 Services                   0     13,756 K
svchost.exe                   1884 Services                   0     10,144 K
svchost.exe                   1920 Services                   0      7,684 K
svchost.exe                   1952 Services                   0     13,268 K
svchost.exe                   1964 Services                   0     22,632 K
svchost.exe                    912 Services                   0     11,244 K
IntelCpHDCPSvc.exe            1640 Services                   0      7,872 K
svchost.exe                   2108 Services                   0     11,912 K
WUDFHost.exe                  2224 Services                   0     11,380 K
svchost.exe                   2236 Services                   0     25,524 K
svchost.exe                   2320 Services                   0     10,712 K
svchost.exe                   2328 Services                   0     18,084 K
svchost.exe                   2332 Services                   0      7,708 K
svchost.exe                   2392 Services                   0     11,908 K
svchost.exe                   2436 Services                   0      7,236 K
Memory Compression            2460 Services                   0          N/A
svchost.exe                   2492 Services                   0     11,388 K
svchost.exe                   2576 Services                   0     12,032 K
svchost.exe                   2584 Services                   0      9,704 K
svchost.exe                   2676 Services                   0     17,908 K
svchost.exe                   2704 Services                   0     10,764 K
svchost.exe                   2768 Services                   0     10,776 K
svchost.exe                   2788 Services                   0      8,844 K
svchost.exe                   2880 Services                   0     35,372 K
svchost.exe                   2916 Services                   0     10,280 K
svchost.exe                   2964 Services                   0     14,192 K
svchost.exe                   2572 Services                   0     24,464 K
svchost.exe                    820 Services                   0     17,228 K
spoolsv.exe                   3144 Services                   0     21,032 K
svchost.exe                   3176 Services                   0     30,012 K
svchost.exe                   3236 Services                   0     10,408 K
svchost.exe                   3300 Services                   0      9,040 K
svchost.exe                   3416 Services                   0      6,996 K
svchost.exe                   3432 Services                   0      9,056 K
svchost.exe                   3452 Services                   0     16,640 K
svchost.exe                   3472 Services                   0     54,160 K
svchost.exe                   3516 Services                   0     15,748 K
MpDefenderCoreService.exe     3552 Services                   0     25,044 K
svchost.exe                   3660 Services                   0      7,404 K
svchost.exe                   3684 Services                   0     12,288 K
MsMpEng.exe                   3712 Services                   0    218,708 K
svchost.exe                   3732 Services                   0     23,616 K
svchost.exe                   3724 Services                   0     25,196 K
armsvc.exe                    3796 Services                   0      8,336 K
DSAUpdateService.exe          3808 Services                   0     22,252 K
DSAService.exe                3828 Services                   0    106,768 K
dasHost.exe                   3856 Services                   0     13,888 K
jhi_service.exe               3912 Services                   0      8,576 K
IntelGraphicsSoftware.Ser     3924 Services                   0     38,472 K
SurSvc.exe                    3956 Services                   0     39,180 K
WMIRegistrationService.ex     4292 Services                   0     15,968 K
svchost.exe                   4332 Services                   0     11,356 K
svchost.exe                   4476 Services                   0     10,560 K
TeamViewer_Service.exe        4684 Services                   0     36,016 K
PresentMonService.exe         5060 Services                   0     16,708 K
conhost.exe                   5072 Services                   0      5,980 K
crashpad_handler.exe          5084 Services                   0      6,128 K
WmiPrvSE.exe                  5136 Services                   0     34,192 K
svchost.exe                   5620 Services                   0     20,312 K
