;----------------------------------------------------
;Dump of Oscilloscope gather for X Axis
;Kp == 0.000000
;Ki == 0.000000
;Kd == 0.000000
;iL == 2560000.000000
;Kg == 0.000000
;Kv1 == 0.000000
;Ka == 0.000000
;accel_time == 0.500000
;samples_per_second == 200.000000
;----------------------------------------------------

Sample Seconds VExp VAbs ErrAbs ErrSum
0 0.000000 -18.295467 -16.000000 -8.000000 0.000000 
1 0.005000 -18.295467 -19.000000 -6.000000 0.000000 
2 0.010000 -18.295467 -19.000000 -8.000000 0.000000 
3 0.015000 -18.295467 -17.000000 -9.000000 0.000000 
4 0.020000 -18.295467 -18.000000 -8.000000 0.000000 
5 0.025000 -18.295467 -20.000000 -6.000000 0.000000 
6 0.030000 -18.295467 -19.000000 -8.000000 0.000000 
7 0.035000 -18.295467 -17.000000 -8.000000 0.000000 
8 0.040000 -18.295467 -19.000000 -7.000000 0.000000 
9 0.045000 -18.295467 -19.000000 -7.000000 0.000000 
10 0.050000 -18.295467 -17.000000 -7.000000 0.000000 
11 0.055000 -18.295467 -17.000000 -6.000000 0.000000 
12 0.060000 -18.295467 -20.000000 -6.000000 0.000000 
13 0.065000 -18.295467 -18.000000 -9.000000 0.000000 
14 0.070000 -18.295467 -17.000000 -8.000000 0.000000 
15 0.075000 -18.295467 -19.000000 -6.000000 0.000000 
16 0.080000 -18.295467 -19.000000 -7.000000 0.000000 
17 0.085000 -18.295467 -18.000000 -8.000000 0.000000 
18 0.090000 -18.295467 -17.000000 -7.000000 0.000000 
19 0.095000 -18.295467 -20.000000 -6.000000 0.000000 
20 0.100000 -18.295467 -20.000000 -7.000000 0.000000 
21 0.105000 -18.295467 -17.000000 -8.000000 0.000000 
22 0.110000 -18.295467 -18.000000 -6.000000 0.000000 
23 0.115000 -18.295467 -19.000000 -7.000000 0.000000 
24 0.120000 -18.295467 -17.000000 -9.000000 0.000000 
25 0.125000 -18.295467 -17.000000 -8.000000 0.000000 
26 0.130000 -18.295467 -20.000000 -7.000000 0.000000 
27 0.135000 -18.295467 -19.000000 -8.000000 0.000000 
28 0.140000 -18.295467 -17.000000 -8.000000 0.000000 
29 0.145000 -18.295467 -19.000000 -6.000000 0.000000 
30 0.150000 -18.295467 -20.000000 -6.000000 0.000000 
31 0.155000 -18.295467 -18.000000 -7.000000 0.000000 
32 0.160000 -18.295467 -17.000000 -7.000000 0.000000 
33 0.165000 -18.295467 -20.000000 -6.000000 0.000000 
